Dates,byd_335,teja,lca_334,g_274,arrivals(tons),sales(tones),t_max_(o_c),t_min_(o_c),rainfall_(mm),area__('000_hectares),production('000_tonnes)
17-01-2016,134000,119119,115000,134000,7,3,29.5,16,67,12.6,81.8
18-01-2016,134000,119119,115000,134000,7,4,30.6,18.6,0,12.6,81.8
19-01-2016,134000,119119,115000,134000,9,5,30.4,19.9,9,12.6,81.8
20-01-2016,134000,119119,115000,134000,8,4,30.6,19.2,36.2,12.6,81.8
21-01-2016,134000,119119,115000,134000,9,5,30.7,19,0,12.6,81.8
22-01-2016,134000,119119,115000,134000,8,4,31.2,18.5,0,12.6,81.8
23-01-2016,134000,119119,115000,134000,8,4,30.8,17.7,0,12.6,81.8
24-01-2016,134400,123500,118191,134400,8,3,29.8,19.1,0,12.6,81.8
25-01-2016,134400,122500,118191,134400,6,3,29.2,16.7,0,12.6,81.8
26-01-2016,134400,124500,118191,134400,12,4,24.9,17.5,0,12.6,81.8
27-01-2016,134400,125500,118191,134400,5,3,30.1,19.9,0,12.6,81.8
28-01-2016,134400,126500,118191,134400,8,4,29.6,14.6,0,12.6,81.8
29-01-2016,134400,127500,118191,134400,11,7,29.7,16.4,0,12.6,81.8
30-01-2016,134400,128500,118191,134400,12,7,30.3,16.4,0,12.6,81.8
31-01-2016,138000,129191,118800,138000,14,9,30.6,18.2,0,12.6,81.8
01-02-2016,138000,127191,118800,138000,14,9,30.7,19,0,12.6,81.8
02-02-2016,138000,128191,118800,138000,19,18,32.7,19.6,0,12.6,81.8
03-02-2016,138000,124191,118800,138000,23,18,33.6,19.8,0,12.6,81.8
04-02-2016,138000,129191,118800,138000,19,18,32.7,19.8,0,12.6,81.8
05-02-2016,138000,130191,118800,138000,23,18,35,19.5,0,12.6,81.8
06-02-2016,138000,124191,118800,138000,30,19,36.1,19.6,0,12.6,81.8
07-02-2016,138000,119119,117000,138000,31,19,37.5,25.6,0,12.6,81.8
08-02-2016,138000,119119,117000,138000,31,19,35.5,25.1,0,12.6,81.8
09-02-2016,138000,119119,117000,138000,24,9,37.5,23.9,0,12.6,81.8
10-02-2016,138000,119119,117000,138000,24,19,34.9,25.5,19,12.6,81.8
11-02-2016,138000,119119,117000,138000,19,16,36.8,24.8,4.2,12.6,81.8
12-02-2016,138000,119119,117000,138000,18,12,36.9,24.8,9.2,12.6,81.8
13-02-2016,138000,119119,117000,138000,15,9,39.8,24,0,12.6,81.8
14-02-2016,138000,123191,116191,138000,14,11,38.2,24.1,0,12.6,81.8
15-02-2016,138000,123191,116191,138000,1,1,38.8,24.1,19.1,13.2,12.2
16-02-2016,138000,123191,116191,138000,1,1,45.8,30.5,0,13.2,12.2
17-02-2016,138000,123191,116191,138000,1,1,40.3,23.7,0,13.2,12.2
18-02-2016,138000,123191,116191,138000,8,4,35.8,25.5,18.4,13.2,12.2
19-02-2016,138000,123191,116191,138000,12,5,34.3,24.7,59.4,13.2,12.2
20-02-2016,138000,123191,116191,138000,11,6,32,25.4,86,13.2,12.2
21-02-2016,138000,119119,115800,138000,12,5,37.7,24.1,0,13.2,12.2
22-02-2016,138000,119119,115800,138000,12,5,38.4,24.1,1.9,13.2,12.2
23-02-2016,138000,119119,115800,138000,11,6,38.1,24.1,19,13.2,12.2
24-02-2016,138000,119119,115800,138000,12,5,37.6,24.9,75.8,13.2,12.2
25-02-2016,138000,119119,115800,138000,12,7,37.2,25.1,15.9,13.2,12.2
26-02-2016,138000,119119,115800,138000,11,8,38,25.1,39.4,13.2,12.2
27-02-2016,138000,119119,115800,138000,13,9,37.7,19.6,63,13.2,12.2
28-02-2016,138500,123000,115500,138500,11,7,36.4,24.2,45.2,13.2,12.2
29-02-2016,138500,123000,115500,138500,12,6,34.9,19.3,119.7,13.2,12.2
01-03-2016,138500,123000,115500,138500,9,5,34.5,25.5,4.8,13.2,12.2
02-03-2016,138500,123000,115500,138500,14,6,33.3,24.9,93.8,13.2,12.2
03-03-2016,138500,123000,115500,138500,11,4,32.7,24.2,46.8,13.2,12.2
04-03-2016,138500,123000,115500,138500,7,4,32.8,25.9,66.7,13.2,12.2
05-03-2016,138500,123000,115500,138500,9,4,33.8,25.9,34.4,13.2,12.2
06-03-2016,144230,123000,119750,144230,9,3,33.9,24.8,5.1,13.2,12.2
07-03-2016,144230,123000,119750,144230,8,3,37.3,25.5,9.7,13.2,12.2
08-03-2016,144230,123000,119750,144230,6,3,37,24.9,4.9,13.2,12.2
09-03-2016,144230,123000,119750,144230,12,8,35.9,19.6,2.8,13.2,12.2
10-03-2016,144230,123000,119750,144230,12,5,35.5,19.6,0,13.2,12.2
11-03-2016,144230,123000,119750,144230,6,3,33.5,19.2,7.2,13.2,12.2
12-03-2016,144230,123000,119750,144230,8,4,31.6,19,60.8,13.2,12.2
13-03-2016,147000,124400,116000,147000,9,4,30.8,19.1,5,13.2,12.2
14-03-2016,147000,124400,116000,147000,12,4,30.9,18.6,0.1,13.2,12.2
15-03-2016,147000,124400,116000,147000,12,5,31.9,18.3,0,13.2,12.2
16-03-2016,147000,124400,116000,147000,12,6,32.4,17.5,0,13.2,12.2
17-03-2016,147000,124400,116000,147000,12,6,32.7,18.3,0,13.2,12.2
18-03-2016,147000,124400,116000,147000,15,12,32,16.9,0.1,13.2,12.2
19-03-2016,147000,124400,116000,147000,12,5,31.6,16.4,0,13.2,12.2
20-03-2016,147000,124500,114000,147000,14,9,31.6,15.6,0,13.2,12.2
21-03-2016,147000,124500,114000,147000,16,12,30.8,17,0,13.2,12.2
22-03-2016,147000,124500,114000,147000,12,8,30.7,18.2,0,13.2,12.2
23-03-2016,147000,124500,114000,147000,16,13,33,17.8,0,13.2,12.2
24-03-2016,147000,124500,114000,147000,14,11,32.7,19.4,0,13.2,12.2
25-03-2016,147000,124500,114000,147000,18,13,33.8,18.4,0,13.2,12.2
26-03-2016,147000,124500,114000,147000,23,16,35,19.6,0,13.2,12.2
27-03-2016,147000,129500,114000,147000,24,17,34,19.1,0,13.2,12.2
28-03-2016,147000,129500,114000,147000,24,13,35.4,19.9,0,13.2,12.2
29-03-2016,147000,129500,114000,147000,30,18,36.9,19.9,0,13.2,12.2
30-03-2016,147000,129500,114000,147000,39,14,39.2,24.2,0,13.2,12.2
31-03-2016,147000,129500,114000,147000,39,19,36.9,24,0,13.2,12.2
01-04-2016,147000,129500,114000,147000,46,19,37.8,24.9,0,13.2,12.2
02-04-2016,147000,129500,114000,147000,35,19,39.7,25.5,0,13.2,12.2
03-04-2016,147000,123750,113191,147000,24,18,39.8,23.7,0,13.2,12.2
04-04-2016,147000,123750,113191,147000,19,14,41.6,24.5,0,13.2,12.2
05-04-2016,147000,123750,113191,147000,15,11,42.1,24.1,12.6,13.2,12.2
06-04-2016,147000,123750,113191,147000,13,9,43.6,24.7,43.2,13.2,12.2
07-04-2016,147000,123750,113191,147000,19,7,33.8,24.1,119.5,17.8,31
08-04-2016,147000,123750,113191,147000,19,8,39.4,24.6,0,17.8,31
09-04-2016,147000,123750,113191,147000,24,8,34.3,25.1,42.8,17.8,31
10-04-2016,147000,125000,111912,147000,19,6,33.6,19.9,23.9,17.8,31
11-04-2016,147000,125000,111912,147000,12,4,36.3,23,16.3,17.8,31
12-04-2016,147000,125000,111912,147000,17,8,37,23.4,3.8,17.8,31
13-04-2016,147000,125000,111912,147000,19,7,34.9,24.1,91.4,17.8,31
14-04-2016,147000,125000,111912,147000,19,8,33.9,24.4,3.7,17.8,31
15-04-2016,147000,125000,111912,147000,19,9,32.6,24,19.6,17.8,31
16-04-2016,147000,125000,111912,147000,19,8,37.8,25.6,0.6,17.8,31
17-04-2016,147000,125000,111912,147000,15,7,37.6,23.1,0,17.8,31
18-04-2016,147000,125000,111912,147000,16,7,37.6,25.1,19.8,17.8,31
19-04-2016,147000,125000,111912,147000,19,8,33.1,24.6,29.6,17.8,31
20-04-2016,147000,125000,111912,147000,11,5,35.3,24.8,0.1,17.8,31
21-04-2016,147000,125000,111912,147000,16,6,32.1,19.4,24.2,17.8,31
22-04-2016,147000,125000,111912,147000,18,6,30.8,24.1,99.3,17.8,31
23-04-2016,147000,125000,111912,147000,19,6,32,19.4,13.3,17.8,31
24-04-2016,150000,125000,111912,150000,17,7,32.9,19.9,119.7,17.8,31
25-04-2016,150000,125000,111912,150000,15,6,33.1,19.6,33.8,17.8,31
26-04-2016,150000,125000,111912,150000,24,6,33.9,19.7,0,17.8,31
27-04-2016,150000,125000,111912,150000,19,4,35.3,18.9,0,17.8,31
28-04-2016,150000,125000,111912,150000,18,4,34.5,19.5,0,17.8,31
29-04-2016,150000,125000,111912,150000,17,5,34.5,17.1,0,17.8,31
30-04-2016,150000,125000,111912,150000,17,5,33.7,19.4,0,17.8,31
01-05-2016,150000,125000,112800,150000,14,6,32.7,15.4,0,17.8,31
02-05-2016,150000,125000,112800,150000,11,5,32.9,16,0,17.8,31
03-05-2016,150000,125000,112800,150000,12,6,32.5,17.9,0,17.8,31
04-05-2016,150000,125000,112800,150000,7,6,30.4,17.9,9,17.8,31
05-05-2016,150000,125000,112800,150000,8,7,32,13.1,0,17.8,31
06-05-2016,150000,125000,112800,150000,7,6,31.9,14,0,17.8,31
07-05-2016,150000,125000,112800,150000,4,6,31.3,15.9,0,17.8,31
08-05-2016,150000,125000,123000,150000,6,8,31.6,16.4,0,17.8,31
09-05-2016,150000,125000,123000,150000,3,9,31.9,14.1,0,17.8,31
10-05-2016,150000,119119,123000,150000,3,12,32.2,17.2,0,17.8,31
11-05-2016,150000,125000,123000,150000,3,12,32.9,16.2,0,17.8,31
12-05-2016,150000,125000,123000,150000,4,13,34.4,16,0,17.8,31
13-05-2016,150000,125000,123000,150000,4,17,34.4,15.6,0,17.8,31
14-05-2016,150000,126000,123000,150000,5,19,36.1,19.6,0,17.8,31
15-05-2016,147000,125000,96000,147000,4,19,35.8,18.7,0,17.8,31
16-05-2016,147000,125000,96000,147000,8,24,35.6,19.8,0,17.8,31
17-05-2016,147000,127000,96000,147000,12,18,37,19.4,0,17.8,31
18-05-2016,147000,125000,96000,147000,17,17,36.9,19.6,8.3,17.8,31
19-05-2016,147000,125119,96000,147000,9,19,37.3,19.3,0,17.8,31
20-05-2016,147000,125000,96000,147000,13,13,37.8,25,0,17.8,31
21-05-2016,147000,126000,96000,147000,9,19,39.1,25.1,0,17.8,31
22-05-2016,145400,119800,94400,145400,13,15,38.2,25.9,32.3,17.8,31
23-05-2016,145400,119800,94400,145400,14,19,36.5,24.9,31.7,17.8,31
24-05-2016,145400,119800,94400,145400,19,19,35.9,25.3,39.9,17.8,31
25-05-2016,145400,119800,94400,145400,13,9,37.4,23,12.2,12,70.2
26-05-2016,145400,119800,94400,145400,13,9,34.7,24.3,43.9,12,70.2
27-05-2016,145400,119800,94400,145400,13,6,33.2,19.8,57,12,70.2
28-05-2016,145400,119800,94400,145400,13,6,37.8,25.5,39,12,70.2
29-05-2016,139191,119119,89191,139191,14,6,36.4,25.4,9.6,12,70.2
30-05-2016,139191,119119,89191,139191,19,6,35.1,24.7,35.3,12,70.2
31-05-2016,139191,119119,89191,139191,12,6,33.2,24,6.6,12,70.2
01-06-2016,139191,119119,89191,139191,24,12,32.7,24.4,19.5,12,70.2
02-06-2016,139191,119119,89191,139191,18,9,34.1,24.1,19.3,12,70.2
03-06-2016,139191,119119,89191,139191,18,8,35.2,24.5,42.9,12,70.2
04-06-2016,139191,119119,89191,139191,19,11,35.1,24.9,19.8,12,70.2
05-06-2016,136191,117000,88000,136191,17,12,34.6,24.9,0,12,70.2
06-06-2016,136191,117000,88000,136191,19,11,35.2,24.9,54.1,12,70.2
07-06-2016,136191,117000,88000,136191,18,12,32.9,19.6,29.1,12,70.2
08-06-2016,136191,117000,88000,136191,15,9,34.3,19.4,50.4,12,70.2
09-06-2016,136191,117000,88000,136191,15,12,34.9,19.5,23.1,12,70.2
10-06-2016,136191,117000,88000,136191,18,13,34.8,19.4,0.9,12,70.2
11-06-2016,136191,117000,88000,136191,17,13,33.9,18.4,0,12,70.2
12-06-2016,123800,116600,88000,123800,18,14,33.3,19.6,0,12,70.2
13-06-2016,123800,116600,88000,123800,19,12,34,19,2.5,12,70.2
14-06-2016,123800,116600,88000,123800,14,12,34.4,19,0,12,70.2
15-06-2016,123800,116600,88000,123800,18,11,32.4,17.5,0,12,70.2
16-06-2016,123800,116600,88000,123800,19,9,32.1,16.4,0,12,70.2
17-06-2016,123800,116600,88000,123800,15,12,33.6,16.9,0,12,70.2
18-06-2016,123800,116600,88000,123800,29,14,31.4,14.4,0,12,70.2
19-06-2016,119800,115000,88000,119800,24,15,31.3,14.5,0,12,70.2
20-06-2016,119800,115000,88000,119800,12,9,31.3,14.9,0,12,70.2
21-06-2016,119800,115000,88000,119800,7,9,31.8,16.6,0,12,70.2
22-06-2016,119800,115000,88000,119800,4,6,31.5,15.1,0,12,70.2
23-06-2016,119800,115000,88000,119800,6,18,32.1,15.7,0,12,70.2
24-06-2016,119800,115000,88000,119800,7,12,33.9,17.3,0,12,70.2
25-06-2016,119800,115000,88000,119800,6,12,34,19.4,0,12,70.2
26-06-2016,119000,116191,86000,119000,7,12,32.9,19,0,12,70.2
27-06-2016,119000,116191,86000,119000,11,14,33.8,17.5,0,12,70.2
28-06-2016,119000,116191,86000,119000,8,11,37.3,17.7,0,12,70.2
29-06-2016,119000,116191,86000,119000,7,18,36.6,18.5,0,12,70.2
30-06-2016,119000,116191,86000,119000,8,14,36.1,19.5,0,12,70.2
01-07-2016,119000,116191,86000,119000,6,13,37.9,19.2,0,12,70.2
02-07-2016,119000,116191,86000,119000,4,11,37.7,23.1,0,12,70.2
03-07-2016,119000,117000,84400,119000,6,14,36.8,24.8,12.2,12,70.2
04-07-2016,119000,117000,84400,119000,7,13,37.8,25.6,0,12,70.2
05-07-2016,119000,117000,84400,119000,7,11,39.9,24.2,0,12,70.2
06-07-2016,119000,117000,84400,119000,7,9,39.9,24.4,0,12,70.2
07-07-2016,119000,117000,84400,119000,5,6,39.8,24.4,4.2,12,70.2
08-07-2016,119000,117000,84400,119000,4,6,39.6,24.6,2.9,12,70.2
09-07-2016,119000,117000,84400,119000,12,5,37.2,24.4,31.6,16.4,52.6
10-07-2016,119000,119600,81912,119000,12,5,39.4,24.7,24.1,16.4,52.6
11-07-2016,119000,119600,81912,119000,14,5,39.4,24.1,54,16.4,52.6
12-07-2016,119000,119600,81912,119000,14,4,35.9,23.8,24,16.4,52.6
13-07-2016,119000,119600,81912,119000,18,6,34.8,25.7,56.9,16.4,52.6
14-07-2016,119000,119600,81912,119000,16,7,31.8,24.7,48.3,16.4,52.6
15-07-2016,119000,119600,81912,119000,8,3,33.5,25.8,19.1,16.4,52.6
16-07-2016,119000,119600,81912,119000,17,7,36.9,23.3,0,16.4,52.6
17-07-2016,98800,119750,79191,98800,11,5,37.2,23,12,16.4,52.6
18-07-2016,98800,119750,79191,98800,18,7,34,24.9,60.5,16.4,52.6
19-07-2016,98800,119750,79191,98800,11,4,31.5,24.2,75.1,16.4,52.6
20-07-2016,98800,119750,79191,98800,14,7,32.4,25,47,16.4,52.6
21-07-2016,98800,119750,79191,98800,19,6,34,25.7,15.5,16.4,52.6
22-07-2016,98800,119750,79191,98800,19,5,34.9,23,0,16.4,52.6
23-07-2016,98800,119750,79191,98800,19,6,36.1,23.5,14.6,16.4,52.6
24-07-2016,84230,124800,73000,84230,19,6,32.6,24.4,43.2,16.4,52.6
25-07-2016,84230,124800,73000,84230,19,7,35.6,24.9,3,16.4,52.6
26-07-2016,84230,124800,73000,84230,19,7,35.6,25,0,16.4,52.6
27-07-2016,84230,124800,73000,84230,19,5,34.9,19.1,0,16.4,52.6
28-07-2016,84230,124800,73000,84230,18,9,32.4,24.4,23.6,16.4,52.6
29-07-2016,84230,124800,73000,84230,24,12,34.2,19.3,0,16.4,52.6
30-07-2016,84230,124800,73000,84230,19,6,34,19.6,0.3,16.4,52.6
31-07-2016,77000,119191,73000,77000,18,8,34.4,19.3,0,16.4,52.6
01-08-2016,77000,119191,73000,77000,24,7,33.8,19.4,2,16.4,52.6
02-08-2016,77000,119191,73000,77000,19,8,32.7,19.9,0,16.4,52.6
03-08-2016,77000,119191,73000,77000,15,7,32.1,18.8,0,16.4,52.6
04-08-2016,77000,119191,73000,77000,17,12,31,19.7,1.8,16.4,52.6
05-08-2016,77000,119191,73000,77000,14,8,31,19.1,0,16.4,52.6
06-08-2016,77000,119191,73000,77000,9,9,23.9,17.4,67.3,16.4,52.6
07-08-2016,75500,119119,71500,75500,11,5,30.1,17.8,0,16.4,52.6
08-08-2016,75500,119119,71500,75500,12,7,29.1,14.3,0,16.4,52.6
09-08-2016,75500,119119,71500,75500,6,8,30.1,15.9,0,16.4,52.6
10-08-2016,75500,119119,71500,75500,2,12,30.5,17,0,16.4,52.6
11-08-2016,75500,119119,71500,75500,6,12,30.3,18.4,3.9,16.4,52.6
12-08-2016,75500,119119,71500,75500,7,7,29.2,15.3,2.1,16.4,52.6
13-08-2016,75500,119119,71500,75500,8,12,31.7,19.9,0,16.4,52.6
14-08-2016,73400,112750,63400,73400,12,9,32.5,19.6,0,16.4,52.6
15-08-2016,73400,112750,63400,73400,9,12,35.7,19.7,0,16.4,52.6
16-08-2016,73400,112750,63400,73400,8,13,35.3,19.3,0,16.4,52.6
17-08-2016,73400,112750,63400,73400,12,14,36.5,24.7,0,16.4,52.6
18-08-2016,73400,112750,63400,73400,9,17,36.7,19.6,0,16.4,52.6
19-08-2016,73400,112750,63400,73400,9,17,36.7,25.5,0,16.4,52.6
20-08-2016,73400,112750,63400,73400,12,16,38,25.5,0,16.4,52.6
21-08-2016,74000,128800,60000,74000,9,18,38.4,25.6,0,16.4,52.6
22-08-2016,74000,128800,60000,74000,9,13,40.1,23.5,0,16.4,52.6
23-08-2016,74000,128800,60000,74000,9,14,39.3,23.8,0,16.4,52.6
24-08-2016,74000,128800,60000,74000,8,9,39.2,24.4,0.4,16.4,52.6
25-08-2016,74000,128800,60000,74000,6,9,41.4,30.3,0,16.4,52.6
26-08-2016,74000,128800,60000,74000,9,9,41.3,30.4,0,16.4,52.6
27-08-2016,74000,128800,60000,74000,9,5,41,30,4,15.4,91.2
28-08-2016,76191,127500,61600,76191,12,5,42,30.9,31.7,15.4,91.2
29-08-2016,76191,127500,61600,76191,15,8,37.5,29.2,19.4,15.4,91.2
30-08-2016,76191,127500,61600,76191,12,12,37.1,24.9,1,15.4,91.2
31-08-2016,76191,127500,61600,76191,13,12,35.5,24.4,11.8,15.4,91.2
01-09-2016,76191,127500,61600,76191,14,12,38.9,24.3,35.3,15.4,91.2
02-09-2016,76191,127500,61600,76191,16,9,35.8,24.6,24.3,15.4,91.2
03-09-2016,76191,127500,61600,76191,16,12,32.6,25.7,24.4,15.4,91.2
04-09-2016,77500,119400,63500,77500,13,9,34.1,23.1,19.4,15.4,91.2
05-09-2016,77500,119400,63500,77500,11,5,34.1,23.8,11.8,15.4,91.2
06-09-2016,77500,119400,63500,77500,11,6,36.6,25.9,41.8,15.4,91.2
07-09-2016,77500,119400,63500,77500,9,5,35.4,25.2,57.1,15.4,91.2
08-09-2016,77500,119400,63500,77500,9,6,35.6,23.6,19.7,15.4,91.2
09-09-2016,77500,119400,63500,77500,11,4,33.8,25.6,6,15.4,91.2
10-09-2016,77500,119400,63500,77500,13,3,37,23.3,73.6,15.4,91.2
11-09-2016,76000,86000,62400,76000,12,3,32.3,24.9,81.8,15.4,91.2
12-09-2016,76000,86000,62400,76000,5,3,32.4,24.9,76.6,15.4,91.2
13-09-2016,76000,86000,62400,76000,5,3,33.7,25.1,5.6,15.4,91.2
14-09-2016,76000,86000,62400,76000,11,4,32.9,25.2,61,15.4,91.2
15-09-2016,76000,86000,62400,76000,9,4,31.5,24.7,74.4,15.4,91.2
16-09-2016,76000,86000,62400,76000,7,4,31.1,24.4,40.6,15.4,91.2
17-09-2016,76000,86000,62400,76000,8,5,31.5,24.8,41,15.4,91.2
18-09-2016,74000,79000,61190,74000,7,3,33.1,19.4,0,15.4,91.2
19-09-2016,74000,79000,61190,74000,9,3,32.2,19.3,0,15.4,91.2
20-09-2016,74000,79000,61190,74000,8,3,31.7,19,0,15.4,91.2
21-09-2016,74000,79000,61190,74000,8,4,31,19.7,0,15.4,91.2
22-09-2016,74000,79000,61190,74000,8,6,30.4,19.9,1.6,15.4,91.2
23-09-2016,74000,79000,61190,74000,7,8,31.1,18.1,0,15.4,91.2
24-09-2016,74000,79000,61190,74000,6,8,31.3,18,0,15.4,91.2
25-09-2016,74000,79500,59191,74000,4,12,30.7,18.1,0,15.4,91.2
26-09-2016,74000,79500,59191,74000,5,9,29.7,19,7.6,15.4,91.2
27-09-2016,74000,79500,59191,74000,6,11,30.4,18.4,0,15.4,91.2
28-09-2016,74000,79500,59191,74000,7,7,31.1,18,0,15.4,91.2
29-09-2016,74000,79500,59191,74000,12,12,32.4,19.1,0,15.4,91.2
30-09-2016,74000,79500,59191,74000,11,13,32.5,19.5,0,15.4,91.2
01-10-2016,74000,79500,59191,74000,6,12,31.2,19.8,0,15.4,91.2
02-10-2016,71800,81912,53800,71800,6,17,33.4,19.2,4.8,15.4,91.2
03-10-2016,71800,81912,53800,71800,11,17,32.9,19.3,0,15.4,91.2
04-10-2016,71800,81912,53800,71800,9,19,33.8,19.6,0,15.4,91.2
05-10-2016,71800,81912,53800,71800,9,19,33.9,19.3,0.8,15.4,91.2
06-10-2016,71800,81912,53800,71800,8,25,35.4,19.9,0,15.4,91.2
07-10-2016,71800,81912,53800,71800,16,16,36.5,25.2,0,15.4,91.2
08-10-2016,71800,81912,53800,71800,19,9,37.1,23.4,0,15.4,91.2
09-10-2016,71667,80000,51933,71667,19,5,37.1,25.4,0,15.4,91.2
10-10-2016,71667,80000,51933,71667,19,5,36.5,23.1,0,15.4,91.2
11-10-2016,71667,80000,51933,71667,19,12,37.5,23.7,0,15.4,91.2
12-10-2016,71667,80000,51933,71667,19,11,37.6,23.2,2,15.4,91.2
13-10-2016,71667,80000,51933,71667,19,8,39,23.9,0,15.4,91.2
14-10-2016,71667,80000,51933,71667,19,8,42.5,30.7,0,15.4,91.2
15-10-2016,71667,80000,51933,71667,8,8,35.3,24.1,47.2,15.6,82.2
16-10-2016,71190,78191,51190,71190,4,4,36.2,23.7,46.8,15.6,82.2
17-10-2016,71190,78191,51190,71190,17,8,35.6,24.1,37.2,15.6,82.2
18-10-2016,71190,78191,51190,71190,19,11,33.9,23.5,19.4,15.6,82.2
19-10-2016,71190,78191,51190,71190,24,6,34.4,25.2,194.4,15.6,82.2
20-10-2016,71190,78191,51190,71190,14,5,33.5,24.4,35.8,15.6,82.2
21-10-2016,71190,78191,51190,71190,19,7,34.1,19.6,44.6,15.6,82.2
22-10-2016,71190,78191,51190,71190,16,8,33.9,24,33.4,15.6,82.2
23-10-2016,71190,74000,53000,71190,19,8,33,24.3,24.4,15.6,82.2
24-10-2016,71190,74000,53000,71190,19,8,29.6,19.8,71.8,15.6,82.2
25-10-2016,71190,74000,53000,71190,19,9,30.9,19.4,30.5,15.6,82.2
26-10-2016,71190,74000,53000,71190,19,9,35.1,24.6,1.3,15.6,82.2
27-10-2016,71190,74000,53000,71190,19,9,35.2,23.1,3.3,15.6,82.2
28-10-2016,71190,74000,53000,71190,19,7,33.7,24.9,82.8,15.6,82.2
29-10-2016,71190,74000,53000,71190,19,9,32.9,25,6.4,15.6,82.2
30-10-2016,119176,71667,52300,119176,19,8,32.9,19.5,80.3,15.6,82.2
31-10-2016,119176,71667,52300,119176,18,6,29.8,19.7,56.3,15.6,82.2
01-11-2016,119176,71667,52300,119176,19,9,29,19.5,75.9,15.6,82.2
02-11-2016,119176,71667,52300,119176,19,5,30.5,19.3,31.8,15.6,82.2
03-11-2016,119176,71667,52300,119176,15,7,31.8,19.4,0,15.6,82.2
04-11-2016,119176,71667,52300,119176,31,5,33,19.7,54.4,15.6,82.2
05-11-2016,119176,71667,52300,119176,19,7,31.2,19.7,0,15.6,82.2
06-11-2016,136095,68000,49000,136095,19,5,31.3,15.5,7.2,15.6,82.2
07-11-2016,136095,68000,49000,136095,19,6,31.3,15.4,0,15.6,82.2
08-11-2016,136095,68000,49000,136095,16,5,30.7,15.7,83.4,15.6,82.2
09-11-2016,136095,68000,49000,136095,19,6,29.9,15.7,0,15.6,82.2
10-11-2016,136095,68000,49000,136095,17,7,30.7,14.9,0,15.6,82.2
11-11-2016,136095,68000,49000,136095,16,7,30.3,13.4,0,15.6,82.2
12-11-2016,136095,68000,49000,136095,19,9,31.3,16.4,0,15.6,82.2
13-11-2016,136095,69000,46000,136095,12,9,30.1,15.2,0,15.6,82.2
14-11-2016,136095,69000,46000,136095,18,7,30.8,14.4,0,15.6,82.2
15-11-2016,136095,69000,46000,136095,16,8,30.7,11.9,0,15.6,82.2
16-11-2016,136095,69000,46000,136095,15,12,30.6,11,0,15.6,82.2
17-11-2016,136095,69000,46000,136095,11,12,30.3,13.6,0,15.6,82.2
18-11-2016,136095,69000,46000,136095,11,12,31,13.5,0,15.6,82.2
19-11-2016,136095,69000,46000,136095,12,11,31.3,19.7,0,15.6,82.2
20-11-2016,136095,71912,45000,136095,12,12,33.7,19.6,8,15.6,82.2
21-11-2016,136095,71912,45000,136095,6,15,36.5,19.8,0,15.6,82.2
22-11-2016,136095,71912,45000,136095,7,19,37.2,19.1,0,15.6,82.2
23-11-2016,136095,71912,45000,136095,8,15,37.2,19.3,0,15.6,82.2
24-11-2016,136095,71912,45000,136095,7,19,37.4,19.3,0,15.6,82.2
25-11-2016,136095,71912,45000,136095,12,19,40,19.2,0,15.6,82.2
26-11-2016,136095,71912,45000,136095,19,18,41.3,24.2,0,15.6,82.2
27-11-2016,136095,71912,115157,136095,30,24,36.6,25.5,40.3,15.6,82.2
28-11-2016,136095,71912,115157,136095,31,19,36.1,16.7,1,15.6,82.2
29-11-2016,136095,71912,115157,136095,18,16,36.3,15.7,0,15.6,82.2
30-11-2016,136095,71912,115157,136095,12,18,36.5,17.6,46.2,15.6,82.2
01-12-2016,136095,71912,115157,136095,4,8,39.2,19.2,8,15.6,82.2
02-12-2016,136095,71912,115157,136095,3,12,36.5,19,0,19.8,33
03-12-2016,136095,71912,115157,136095,12,3,33.8,16.9,34.1,19.8,33
04-12-2016,136095,69000,115157,136095,13,6,35.5,19.7,5.6,19.8,33
05-12-2016,136095,69000,115157,136095,16,4,33.4,19.2,88.6,19.8,33
06-12-2016,136095,69000,115157,136095,15,5,34,19.9,11.3,19.8,33
07-12-2016,136095,69000,115157,136095,16,6,30.2,19.7,32.1,19.8,33
08-12-2016,136095,69000,115157,136095,18,8,29,18.5,91,19.8,33
09-12-2016,136095,69000,115157,136095,19,8,32.6,19.4,30.5,19.8,33
10-12-2016,136095,69000,115157,136095,19,9,33.1,24.9,2.2,19.8,33
11-12-2016,75000,80192,54191,75000,29,9,32.9,25.2,19.6,19.8,33
12-12-2016,75000,80192,54191,75000,23,11,32,25.3,42.4,19.8,33
13-12-2016,75000,80192,54191,75000,29,6,31.3,24,99.2,19.8,33
14-12-2016,75000,80192,54191,75000,32,6,30.6,24.3,97.4,19.8,33
15-12-2016,75000,80192,54191,75000,30,8,29.7,19.9,65.8,19.8,33
16-12-2016,75000,80192,54191,75000,19,12,31.9,25.4,3,19.8,33
17-12-2016,75000,80192,54191,75000,19,12,31.3,24.7,25.5,19.8,33
18-12-2016,75000,80192,52400,75000,19,6,29.8,24,40.2,19.8,33
19-12-2016,75000,80192,52400,75000,24,7,30.5,25.3,119.4,19.8,33
20-12-2016,75000,80192,52400,75000,19,8,32,24.6,0,19.8,33
21-12-2016,75000,80192,52400,75000,24,12,31.3,24.7,1.8,19.8,33
22-12-2016,75000,80192,52400,75000,43,12,31.3,19.2,0,19.8,33
